Date,Region,TV_Spend,SocialMedia_Spend,GoogleAds_Spend,Influencer_Spend,Email_Spend,Total_Sales
2023-01-10,South,58792,49178,65532,29474,8030,672438
2023-01-10,East,123969,42821,55754,22333,6611,696123
2023-01-10,West,93001,26999,20400,38879,4796,513330
2023-01-10,Central,126552,48712,39239,13367,9717,697831
2023-01-11,North,73897,50172,30416,5722,6516,461735
2023-01-11,South,118148,43722,23412,36145,4493,652532
2023-01-11,East,73483,20625,36440,15139,6231,423723
2023-01-11,West,98555,11629,44406,7128,5576,503187
2023-01-11,Central,67159,20973,21875,25617,10100,421660
2023-01-12,North,130077,16859,73695,33080,7728,783432
2023-01-12,South,85920,51609,57066,22533,2032,627930
2023-01-12,East,142067,53307,56536,37624,12886,880811
2023-01-12,West,117121,55450,25752,32956,6373,703547
2023-01-12,Central,119479,46046,41217,38077,5598,777170
2023-01-13,North,139475,31839,32489,8952,4392,609891
2023-01-13,South,69457,37216,21353,27796,14304,494594
2023-01-13,East,116557,28945,46986,36746,13063,707359
2023-01-13,West,127189,16539,41371,26249,8705,666940
2023-01-13,Central,128953,59522,59365,5015,8790,768727
2023-01-14,North,102995,43625,34691,30957,4677,662704
2023-01-14,South,90757,14886,24311,21005,3401,454078
2023-01-14,East,59692,55713,68075,26292,2817,688783
2023-01-14,West,95758,17485,30794,36876,8203,540092
2023-01-14,Central,122409,41455,22934,19817,11852,650838
2023-01-15,North,121211,56448,36406,30470,6562,767083
2023-01-15,South,115697,26767,30394,14759,6723,601705
2023-01-15,East,87065,57165,70361,11412,4438,697431
2023-01-15,West,142093,38453,46872,25504,13175,778974
2023-01-15,Central,149299,20744,61708,13507,8828,731375
2023-01-16,North,82606,47102,69956,26050,3210,734113
2023-01-16,South,61534,22226,61093,9820,8641,522381
2023-01-16,East,144663,37869,40800,12835,2599,680305
2023-01-16,West,90397,32588,63397,32631,7480,701940
2023-01-16,Central,141387,23440,77777,39617,3846,923062
2023-01-17,North,51016,41709,57909,18587,12047,570745
2023-01-17,South,139789,57788,41352,39721,8592,800400
2023-01-17,East,105591,32495,56439,11840,9861,637657
2023-01-17,West,139812,47019,48312,36440,3887,797243
2023-01-17,Central,73247,54948,60060,35636,2679,699890
2023-01-18,North,74300,58908,35438,7389,5252,554778
2023-01-18,South,124065,10922,43385,5763,3835,562127
2023-01-18,East,132798,37526,64999,28925,14222,817389
2023-01-18,West,59268,17957,38482,31549,4177,463730
2023-01-18,Central,136807,58564,52471,28457,10142,833513
2023-01-19,North,62185,43998,67279,26423,2148,683711
2023-01-19,South,113704,53395,63877,15518,3495,779671
2023-01-19,East,136779,34031,61212,37360,3744,840675
2023-01-19,West,89099,20006,74213,33173,3646,682373
2023-01-19,Central,58571,47701,68373,14395,4995,589209
2023-01-20,North,88044,57063,33026,24207,8643,650023
2023-01-20,South,101214,35939,62089,31639,11864,782050
2023-01-20,East,111228,59145,39648,33924,12131,721961
2023-01-20,West,98984,30324,25435,12433,9378,547273
2023-01-20,Central,90774,32867,28493,35104,10849,581949
2023-01-21,North,52568,10203,26691,8664,5667,313814
2023-01-21,South,112592,26544,79321,15528,11245,728876
2023-01-21,East,117563,25899,22763,33190,14263,571852
2023-01-21,West,52695,39063,40389,5497,2576,389597
2023-01-21,Central,98190,35344,51498,12641,13287,648932
2023-01-22,North,55258,13748,56009,9643,13223,461966
2023-01-22,South,137538,49486,55825,10056,6779,773572
2023-01-22,East,89504,11093,36934,37899,10187,580457
2023-01-22,West,83159,25228,25574,10443,4972,430456
2023-01-22,Central,63986,30884,58179,22241,9756,616477
2023-01-23,North,111858,35183,21587,13712,5948,514921
2023-01-23,South,62666,26034,62782,13221,8544,540904
2023-01-23,East,88660,15710,58688,36346,4045,620776
2023-01-23,West,53561,52500,74412,20660,14128,706326
2023-01-23,Central,76854,29259,31688,16588,13140,513273
2023-01-24,North,114505,45959,24409,22942,3627,600268
2023-01-24,South,102251,43457,25783,6607,3488,491368
2023-01-24,East,72662,30143,53480,7016,14337,563846
2023-01-24,West,58392,12103,46751,8574,14390,410467
2023-01-24,Central,80535,10365,58174,12274,14655,529341
2023-01-25,North,128603,56778,77142,20748,11127,873816
2023-01-25,South,102256,54535,76572,25175,5563,830520
2023-01-25,East,139135,26103,32041,16826,13821,625444
2023-01-25,West,85222,42510,43227,22472,11906,629985
2023-01-25,Central,127373,34476,55201,39129,3802,776024
2023-01-26,North,129575,22742,56069,9473,11612,683575
2023-01-26,South,146354,22391,36654,28490,5591,672077
2023-01-26,East,134651,46940,46370,14481,5520,749176
2023-01-26,West,113335,38901,49482,13520,7896,651082
2023-01-26,Central,60965,42001,79806,31415,9643,728679
2023-01-27,North,74538,25623,31586,22570,9041,462876
2023-01-27,South,120592,12378,70231,24798,5311,716631
2023-01-27,East,148018,31372,25322,8536,4305,580919
2023-01-27,West,58110,54799,33932,6773,9875,487977
2023-01-27,Central,129309,48437,49299,34894,12187,793051
2023-01-28,North,77266,45503,45179,10079,3967,550493
2023-01-28,South,102992,40746,25257,30838,10009,618015
2023-01-28,East,132948,37923,66501,26804,13906,806322
2023-01-28,West,148806,19867,77134,24675,14227,854097
2023-01-28,Central,56910,51258,66136,30594,14677,705192
2023-01-29,North,140982,43724,29777,13998,7462,674733
2023-01-29,South,50206,19306,31249,18697,8897,430030
2023-01-29,East,137054,49391,75366,18429,5458,852799
2023-01-29,West,137897,24908,41390,12140,10585,648630
2023-01-29,Central,73419,37081,40369,19901,6778,574430
2023-01-30,North,100636,47228,32881,28279,5730,607769
2023-01-30,South,100015,33386,29587,33525,6365,552660
2023-01-30,East,104268,56754,48264,25491,14436,752789
2023-01-30,West,137939,55406,28791,8280,9547,695167
2023-01-30,Central,68141,38302,61473,39980,2027,632934
2023-01-31,North,130356,29212,42375,34989,5491,710073
2023-01-31,South,121910,45618,42611,13078,8423,654333
2023-01-31,East,106044,56067,62026,31118,7301,811123
2023-01-31,West,117214,20698,27833,28985,14453,596137
2023-01-31,Central,83827,14594,72038,21997,8160,660989
2023-02-01,North,105820,35525,67013,19274,3173,686084
2023-02-01,South,112623,24282,71805,5868,2338,674558
2023-02-01,East,131734,59053,35754,31398,11260,794355
2023-02-01,West,125450,24334,62048,21042,2841,715154
2023-02-01,Central,143426,39179,32577,36820,14476,724094
2023-02-02,North,72299,16644,51095,26246,14938,565107
2023-02-02,South,93585,45618,41248,25561,2293,615244
2023-02-02,East,114044,57701,55282,21254,12049,742962
2023-02-02,West,92557,42933,56737,39512,11514,755843
2023-02-02,Central,99080,53469,72436,28996,8558,831797
2023-02-03,North,52693,43687,51891,33618,3647,583006
2023-02-03,South,145003,51073,44124,16859,6898,781701
2023-02-03,East,145259,27375,24566,28580,13812,688068
2023-02-03,West,119163,58483,22196,10423,6526,611323
2023-02-03,Central,75939,40926,51115,11608,7614,584868
2023-02-04,North,98925,46607,69941,9876,13286,747562
2023-02-04,South,92941,27642,39859,26038,13683,603714
2023-02-04,East,71834,33993,31345,33006,13687,504099
2023-02-04,West,68047,54386,79008,35810,14774,753783
2023-02-04,Central,76105,56287,54077,19325,5801,675992
2023-02-05,North,125766,31188,20864,6753,10280,521862
2023-02-05,South,65707,42596,32055,34531,9376,549966
2023-02-05,East,71976,37772,58157,22996,14558,673285
2023-02-05,West,94262,40857,39747,8275,12148,555798
2023-02-05,Central,73776,20776,64484,13747,2899,555847
2023-02-06,North,80080,42835,31978,5824,5477,488204
2023-02-06,South,116842,19788,44599,18880,3744,599173
2023-02-06,East,111373,15660,55771,6081,14565,625791
2023-02-06,West,56776,14478,66942,16517,8096,519651
2023-02-06,Central,142787,18210,77654,26683,4253,838497
2023-02-07,North,105016,20922,66540,21876,13853,697143
2023-02-07,South,59474,46289,37615,13266,13152,530085
2023-02-07,East,108053,43340,60727,16183,3633,679528
2023-02-07,West,71959,49850,64748,26066,9001,652601
2023-02-07,Central,55530,48163,71863,17877,9020,651970
2023-02-08,North,144856,58175,59349,14982,11053,831654
2023-02-08,South,53748,28642,76857,13968,10149,626207
2023-02-08,East,147504,21094,49377,31598,6701,751883
2023-02-08,West,148098,32423,50031,19639,8735,758239
2023-02-08,Central,63545,43418,69573,9674,3013,601146
2023-02-09,North,116199,15741,62733,9316,5299,618829
2023-02-09,South,84766,56049,31760,14695,3506,566696
2023-02-09,East,123530,16838,67690,36094,13397,803516
2023-02-09,West,143557,13262,53714,27187,6803,716043
2023-02-09,Central,111087,14996,45762,6214,2977,525799
2023-02-10,North,145839,54594,70986,28940,13653,957015
2023-02-10,South,118840,32164,54332,30685,3817,692258
2023-02-10,East,104384,45595,60100,20977,13876,763085
2023-02-10,West,101005,40257,24944,30538,14250,592315
2023-02-10,Central,96576,24211,68825,12965,12826,679293
2023-02-11,North,89353,40453,33877,14597,6901,551017
2023-02-11,South,112003,15232,49990,32740,13858,626290
2023-02-11,East,133211,12217,62907,11569,11140,684315
2023-02-11,West,102733,34229,54076,16881,8798,678788
2023-02-11,Central,115318,24232,72138,37177,2473,778537
2023-02-12,North,139474,35613,69538,5590,2567,754139
2023-02-12,South,73664,24026,75283,31119,13624,678186
2023-02-12,East,117172,38554,78505,32915,14215,890154
2023-02-12,West,135616,40908,23258,7708,9966,592447
2023-02-12,Central,143264,29610,75273,27106,4258,887299
2023-02-13,North,76736,56646,51629,22131,10120,689099
2023-02-13,South,144209,49605,57579,11553,13336,833399
2023-02-13,East,50854,17031,42958,22881,6310,444366
2023-02-13,West,140084,57574,59465,6379,3982,781355
2023-02-13,Central,88623,35515,40317,30255,3096,611023
2023-02-14,North,57392,46484,35775,8770,8610,504986
2023-02-14,South,105680,46182,31039,24726,5570,660047
2023-02-14,East,96717,10570,49097,14088,8497,499048
2023-02-14,West,137092,42254,54207,39314,13582,905178
2023-02-14,Central,100859,29288,42553,21350,12864,615719
2023-02-15,North,76309,23288,64402,39063,5646,681839
2023-02-15,South,137455,39877,73632,20861,4419,821742
2023-02-15,East,113734,28889,20055,18973,6279,510901
2023-02-15,West,120467,10917,72476,22769,13540,701817
2023-02-15,Central,102662,20066,43161,22326,2673,607057
2023-02-16,North,148506,39504,52873,7786,4802,724362
2023-02-16,South,62688,16982,55969,6620,9312,471498
2023-02-16,East,75342,49104,35184,24589,4369,565175
2023-02-16,West,87157,28062,20669,7882,6530,404984
2023-02-16,Central,117863,26999,32663,29524,3066,611793
2023-02-17,North,102083,19941,45318,14745,7432,564532
2023-02-17,South,115733,33470,53734,20861,10073,722813
2023-02-17,East,139045,55148,36691,31171,2687,753111
2023-02-17,West,84698,31133,38522,31199,2068,560894
2023-02-17,Central,130623,54435,31656,7837,12295,679508
2023-02-18,North,72671,14529,35893,13599,8774,434888
2023-02-18,South,75184,27519,65857,20911,2419,613247
2023-02-18,East,143384,22192,36493,25553,14190,669402
2023-02-18,West,92107,18566,23632,28813,12789,522486
2023-02-18,Central,136202,17226,50336,34520,14530,771679
2023-02-19,North,101663,47930,43112,34541,8891,735494
2023-02-19,South,65708,59358,58452,5236,7593,605791
2023-02-19,East,141906,31259,33266,32350,12316,667803
2023-02-19,West,99811,44087,75651,16549,8104,763196
2023-02-19,Central,52811,11141,71067,32453,5892,577094
2023-02-20,North,106250,14627,36940,17906,2439,504452
2023-02-20,South,122082,57269,44003,19988,11478,729504
2023-02-20,East,84754,12690,52872,32723,3208,562478
2023-02-20,West,145742,50091,54815,38800,11270,897718
2023-02-20,Central,61411,13255,50869,32430,4563,502951
2023-02-21,North,52911,15213,69297,37535,9466,608710
2023-02-21,South,117270,46876,37257,7940,13815,685781
2023-02-21,East,133763,29404,36682,26793,3253,665912
2023-02-21,West,58680,35380,39622,17262,13549,475642
2023-02-21,Central,134896,35520,50408,11961,5209,668646
2023-02-22,North,133879,29173,28837,31499,5549,665510
2023-02-22,South,121295,33989,35407,36283,2614,719108
2023-02-22,East,138614,52570,49309,5633,5078,713320
2023-02-22,West,61111,34519,26382,11822,12915,385970
2023-02-22,Central,87504,32439,47654,30968,5490,660210
2023-02-23,North,51802,21413,38895,24830,5543,497640
2023-02-23,South,58155,24995,75748,10738,10102,596286
2023-02-23,East,123656,33559,53551,8098,14707,690389
2023-02-23,West,89384,55351,41376,34888,3900,686259
2023-02-23,Central,97254,33513,20370,13097,14563,513739
2023-02-24,North,71918,15021,68676,18136,7680,591094
2023-02-24,South,135981,42464,20486,13253,8751,618835
2023-02-24,East,110713,31119,43762,30208,7862,647593
2023-02-24,West,80306,39299,46613,9887,3712,552696
2023-02-24,Central,66646,49350,67268,14492,4329,641148
2023-02-25,North,96843,56223,23196,6454,13811,537730
2023-02-25,South,146601,35517,62320,22522,3194,813055
2023-02-25,East,140735,23117,73439,8192,8781,751454
2023-02-25,West,66371,32250,49401,20775,10162,554672
2023-02-25,Central,127371,28950,55029,15402,6906,702242
2023-02-26,North,52049,27359,30813,18074,3378,417429
2023-02-26,South,81616,33596,61916,20245,11504,637126
2023-02-26,East,70932,35530,28572,30936,13107,541705
2023-02-26,West,79855,11262,67776,32002,2749,635696
2023-02-26,Central,111434,50150,48225,20683,7292,728387
2023-02-27,North,122694,32615,65853,17460,2300,739799
2023-02-27,South,93016,13327,69390,35482,6695,699764
2023-02-27,East,57400,39768,52275,21447,14174,566888
2023-02-27,West,92642,38850,26843,22729,6624,599864
2023-02-27,Central,65151,52788,21105,25545,5837,505460
2023-02-28,North,101407,26848,70538,33204,2277,759405
2023-02-28,South,116690,56830,79896,14814,14950,853812
2023-02-28,East,54499,49542,63209,18890,12750,636819
2023-02-28,West,56295,25160,51639,6740,5917,464945
2023-02-28,Central,109040,43998,62487,35121,9307,806635
2023-03-01,North,62183,37230,38051,16218,4161,467476
2023-03-01,South,79299,19076,48708,11055,14867,526522
2023-03-01,East,62874,13805,55459,27705,3389,514524
2023-03-01,West,82711,41085,76908,39722,10882,814844
2023-03-01,Central,55539,24715,31864,11439,6732,376384
2023-03-02,North,103351,15750,54764,35921,5468,667460
2023-03-02,South,111267,58395,21425,38729,12040,698117
2023-03-02,East,98354,23232,69146,28211,8141,744283
2023-03-02,West,52557,45903,77175,35614,7969,740744
2023-03-02,Central,88360,16953,26849,22601,5816,497340
2023-03-03,North,132018,42093,56015,32796,11131,802000
2023-03-03,South,52200,35500,38976,11007,7037,437835
2023-03-03,East,118497,32418,54258,25514,13374,726494
2023-03-03,West,96975,44314,70376,22776,7994,775478
2023-03-03,Central,71357,58225,71739,7076,13501,699313
2023-03-04,North,127505,32449,76866,30350,12242,839298
2023-03-04,South,52869,27478,72216,21292,11938,587730
2023-03-04,East,111135,45179,67078,36510,4451,842222
2023-03-04,West,100108,56881,76956,33000,2024,856451
2023-03-04,Central,144179,35338,51113,35383,7962,811727
2023-03-05,North,140272,36899,69984,16785,4556,808564
2023-03-05,South,88467,14145,35401,29855,9632,546870
2023-03-05,East,73328,42101,32884,29281,2060,526674
2023-03-05,West,141412,12775,38824,9841,9675,601981
2023-03-05,Central,136831,55961,57563,36668,2122,875026
2023-03-06,North,53987,41647,54414,31918,7616,579591
2023-03-06,South,108871,55619,36142,22443,12294,682592
2023-03-06,East,72399,55838,67074,37250,3186,799284
2023-03-06,West,96214,29539,69592,6922,7158,629362
2023-03-06,Central,149522,46738,25956,36976,9864,769507
2023-03-07,North,136416,36616,33928,16991,11922,628369
2023-03-07,South,120271,24119,29721,27733,14833,615871
2023-03-07,East,94064,35159,31157,7473,6089,482111
2023-03-07,West,120091,47099,55135,13108,4472,709850
2023-03-07,Central,90818,20295,26696,33715,13157,547553
2023-03-08,North,95525,44710,47862,37210,12469,697048
2023-03-08,South,69830,34685,25190,38362,14279,547035
2023-03-08,East,67429,59343,24663,9889,9450,483169
2023-03-08,West,56893,35479,59830,29021,4964,572781
2023-03-08,Central,129909,56172,24331,13212,10104,676716
2023-03-09,North,97333,43629,78648,36971,3310,805601
2023-03-09,South,53436,52043,72186,8201,10346,619381
2023-03-09,East,124290,27033,64648,29346,4212,750136
2023-03-09,West,126213,46902,48549,18715,13445,747164
2023-03-09,Central,55895,54571,36246,10681,11454,509372
2023-03-10,North,69738,25408,45761,21720,8792,523912
2023-03-10,South,80746,27420,23262,6667,11554,409440
2023-03-10,East,99377,26351,66088,33152,11129,724831
2023-03-10,West,98404,14131,71259,13204,10703,646935
2023-03-10,Central,104045,54825,27036,29537,10378,659224
2023-03-11,North,147888,21349,79184,16217,3845,837387
2023-03-11,South,89790,54254,73472,38741,9660,851298
2023-03-11,East,55600,48225,42322,25654,3702,572285
2023-03-11,West,144660,48847,39131,6408,2390,718991
2023-03-11,Central,143179,22453,24677,23672,2654,615916
2023-03-12,North,90764,28814,27972,6218,7835,479745
2023-03-12,South,124543,28263,35329,35105,6271,679585
2023-03-12,East,95714,22158,57032,9098,13013,618291
2023-03-12,West,106835,25735,55901,12619,10955,598875
2023-03-12,Central,123744,25830,64380,16939,5400,708145
2023-03-13,North,106491,57893,70617,23226,7319,826504
2023-03-13,South,68589,54673,40493,30322,14998,644985
2023-03-13,East,93484,33926,38595,21878,13459,593006
2023-03-13,West,132989,55066,41923,11560,8732,690036
2023-03-13,Central,86212,44779,66926,34299,8674,751414
2023-03-14,North,93525,13373,29735,12543,3085,459266
2023-03-14,South,97202,20335,54457,28946,7446,631727
2023-03-14,East,82635,33741,62531,36740,12121,712616
2023-03-14,West,113208,20692,27727,12253,6376,549972
2023-03-14,Central,83828,57295,27764,18775,3963,562411
2023-03-15,North,68711,55541,73693,37813,11977,786324
2023-03-15,South,53420,44057,72693,32632,12466,699520
2023-03-15,East,146752,11447,65771,7057,12878,719511
2023-03-15,West,50301,29583,47599,38431,7177,556452
2023-03-15,Central,95236,32765,20818,23413,13160,535786
2023-03-16,North,116235,33906,67207,35225,6572,773763
2023-03-16,South,104240,29567,67845,7696,9543,664278
2023-03-16,East,115726,24139,57289,21101,10907,661987
2023-03-16,West,60492,56525,53892,13831,2242,590384
2023-03-16,Central,56102,48230,25660,24047,8510,500861
2023-03-17,North,100336,29520,49521,10004,5915,581554
2023-03-17,South,135314,29702,58409,27705,11715,762487
2023-03-17,East,76641,35566,70281,26509,2837,669261
2023-03-17,West,84584,17657,54470,19662,5323,597794
2023-03-17,Central,82745,47688,38385,5394,4953,561245
2023-03-18,North,73093,40134,43296,15524,11537,542882
2023-03-18,South,116105,20345,73030,38097,12615,791043
2023-03-18,East,101885,51185,43616,31673,12220,715851
2023-03-18,West,86631,59928,46382,22156,3432,691093
2023-03-18,Central,122991,37413,31139,6645,8854,550218
2023-03-19,North,54014,15208,75483,34049,9655,609969
2023-03-19,South,61093,43455,52060,14815,10431,572278
2023-03-19,East,68070,59681,42419,6848,10330,569439
2023-03-19,West,85777,38018,47785,39329,13385,675505
2023-03-19,Central,106958,55991,35702,38541,10611,729245
2023-03-20,North,132074,18080,79496,12311,2303,756722
2023-03-20,South,60729,31902,49217,26563,4162,537483
2023-03-20,East,149713,19486,59291,20203,8486,736318
2023-03-20,West,95017,48862,32397,14290,12218,584459
2023-03-20,Central,116320,31158,60879,39818,6102,783144
2023-03-21,North,77751,50460,77888,22131,8874,710027
2023-03-21,South,128069,53856,55169,35143,12418,858097
2023-03-21,East,104748,45871,46940,29509,3168,716344
2023-03-21,West,55801,45208,62249,27244,2415,617161
2023-03-21,Central,69190,30519,48341,31898,12905,588566
2023-03-22,North,99689,41379,30067,39383,7243,631185
2023-03-22,South,100993,38378,66144,25138,2149,721425
2023-03-22,East,79592,49892,33824,10506,12636,534831
2023-03-22,West,60647,59996,33444,25605,8524,600999
2023-03-22,Central,58716,24031,65647,18054,7899,562950
2023-03-23,North,138891,24536,78126,33231,2838,812373
2023-03-23,South,137545,10446,68880,18861,8144,744432
2023-03-23,East,139912,46683,53307,16587,11888,819270
2023-03-23,West,120316,58555,30974,18515,14531,704396
2023-03-23,Central,52368,27618,66614,26675,12102,621596
2023-03-24,North,127575,16587,58383,21600,11613,714600
2023-03-24,South,56655,41480,49290,32892,9466,617111
2023-03-24,East,120031,42994,36016,22743,13193,697955
2023-03-24,West,126429,30527,52112,8774,3320,672525
2023-03-24,Central,141083,33569,48513,26801,14227,776057
2023-03-25,North,137922,21151,22956,33853,3523,591312
2023-03-25,South,105766,15558,28077,9429,7234,449080
2023-03-25,East,63403,54739,56490,9606,14070,589026
2023-03-25,West,82097,42954,64827,9478,8144,592361
2023-03-25,Central,128657,57448,79177,23280,2552,888583
2023-03-26,North,60966,57327,57855,9427,5756,628631
2023-03-26,South,149157,53837,63106,10361,5671,805705
2023-03-26,East,143848,45303,75612,30475,2481,924163
2023-03-26,West,102921,44700,54938,5641,2599,646678
2023-03-26,Central,99726,37500,56159,26730,9677,703959
2023-03-27,North,100300,12032,59710,26113,11356,663445
2023-03-27,South,72677,11252,38000,25011,14870,483900
2023-03-27,East,105609,15509,33806,24659,14424,591358
2023-03-27,West,146825,47842,67560,26309,11195,891310
2023-03-27,Central,106661,23900,32809,23688,3982,567327
2023-03-28,North,81024,24523,34855,33176,3634,536100
2023-03-28,South,120313,11881,61876,8343,9830,614314
2023-03-28,East,103006,43037,49388,7056,4997,591936
2023-03-28,West,145285,11630,26458,24192,2686,605483
2023-03-28,Central,65338,30789,55524,28476,13606,631631
2023-03-29,North,118027,32523,26853,14416,7529,570445
2023-03-29,South,142772,27958,60477,5886,3759,721110
2023-03-29,East,130135,56151,52222,13584,9023,737182
2023-03-29,West,69508,58920,38320,32766,8208,642612
2023-03-29,Central,53051,53852,48618,23830,9234,548936
2023-03-30,North,98747,11695,72243,25289,4480,644484
2023-03-30,South,137142,24821,65615,16530,11529,787374
2023-03-30,East,137235,13262,37352,8591,9476,581575
2023-03-30,West,104021,11445,27297,33342,9770,541929
2023-03-30,Central,116412,26436,47940,26395,2114,669784
2023-03-31,North,108335,19949,69024,21738,14149,727124
2023-03-31,South,106179,33963,23203,7631,2568,486576
2023-03-31,East,82093,39932,59267,22905,11745,671612
2023-03-31,West,119678,16901,57941,24056,9951,684369
2023-03-31,Central,130738,43487,37273,28546,4689,685047
2023-04-01,North,89734,18597,45368,31014,6590,576236
2023-04-01,South,122615,16855,31650,12463,5340,546263
2023-04-01,East,123523,28678,50984,6780,4988,624783
2023-04-01,West,144476,18263,61941,31107,5151,775401
2023-04-01,Central,67019,57288,27382,36587,13719,620075
2023-04-02,North,133613,35805,72683,29968,5015,850319
2023-04-02,South,141794,36143,20801,38593,11013,710257
2023-04-02,East,136672,21874,61002,28660,8345,735815
2023-04-02,West,123847,37529,66665,7395,5574,734861
2023-04-02,Central,132750,30866,67965,36848,9838,822808
2023-04-03,North,129634,24079,39733,20779,13979,655448
2023-04-03,South,78251,59850,77157,10492,3608,706479
2023-04-03,East,75945,17243,29969,34722,2559,506771
2023-04-03,West,140852,39872,55969,12111,8621,791844
2023-04-03,Central,82217,19018,36733,14984,14255,487530
2023-04-04,North,58308,59500,52449,37016,9126,678736
2023-04-04,South,55949,22100,46143,32640,7565,540729
2023-04-04,East,101990,59459,45705,11792,6435,681751
2023-04-04,West,51150,29800,48363,31924,7650,536335
2023-04-04,Central,139480,36910,50720,37577,10803,822799
2023-04-05,North,124740,39437,29972,12711,12355,659843
2023-04-05,South,116617,47588,53351,25012,3881,729577
2023-04-05,East,144841,21001,65487,39333,6169,825339
2023-04-05,West,66896,56675,56145,9096,5863,621300
2023-04-05,Central,96175,29942,42412,6019,9436,582098
2023-04-06,North,57805,30862,44078,29312,5708,530962
2023-04-06,South,55237,21669,42580,14476,3709,397312
2023-04-06,East,70056,25916,76235,13254,9860,631744
2023-04-06,West,95543,20878,34855,37419,11953,585285
2023-04-06,Central,106556,12985,56169,16584,3692,604972
2023-04-07,North,53343,42369,66404,10965,11437,560145
2023-04-07,South,63500,18112,39569,16464,2125,403720
2023-04-07,East,103222,51235,79538,17439,14944,814899
2023-04-07,West,79375,28931,74437,37963,3199,755291
2023-04-07,Central,59662,37340,68506,33440,8092,640990
2023-04-08,North,66964,10336,45738,8273,4711,413340
2023-04-08,South,109638,52933,26772,20330,13638,609136
2023-04-08,East,123666,29363,44874,26494,11182,697640
2023-04-08,West,135067,55536,39731,15886,13257,749744
2023-04-08,Central,117215,13968,30131,8212,11713,479155
2023-04-09,North,119042,43678,20788,22905,8228,634169
2023-04-09,South,63284,58400,74097,27058,7995,702046
2023-04-09,East,122789,26279,36184,6080,10182,603718
2023-04-09,West,134664,13129,50897,37675,7502,753990
2023-04-09,Central,143468,48215,22889,27007,14920,725351
2023-04-10,North,111389,48897,29569,22105,7760,654249
2023-04-10,South,59435,15850,41657,35279,7582,497843
2023-04-10,East,104340,30588,30141,22946,4498,531677
2023-04-10,West,94078,50214,39656,5639,4565,578057
2023-04-10,Central,128832,21949,78221,17502,8989,748627
2023-04-11,North,101293,18519,41618,33363,6790,605394
2023-04-11,South,145981,36375,31934,8736,12789,633230
2023-04-11,East,128781,43082,62537,21473,7024,810058
2023-04-11,West,110403,21737,43286,39019,10307,679146
2023-04-11,Central,79124,11134,27612,26087,3031,452592
2023-04-12,North,145435,20938,71644,33489,3241,843476
2023-04-12,South,93919,34486,52069,24325,3742,676769
2023-04-12,East,85247,58356,36205,5271,7709,587319
2023-04-12,West,144758,36096,47331,23414,7999,791526
2023-04-12,Central,141747,51115,75897,29220,13830,923229
